leaveblank,
`bear,ʕ •ᴥ•ʔ
`whelp,(*ﾟｰﾟ)
`lenny,( ͡° ͜ʖ ͡°)
`len$,[̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅]
`lensquid,︵‿︵(´ ͡༎ຶ ͜ʖ ͡༎ຶ `)︵‿︵
`table,(╯°□°）╯︵ ┻━┻
`rage,(怒ﾟДﾟ)ﾉ
`cute,( ͡o ͜ʖ ͡o)
`wink,( ͡~ ͜ʖ ͡°)
`wut,( ͠° ͟ʖ ͡°)
`music,♫♪.ılılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|llılılı.♫♪
`angry,୧( ಠ Д ಠ )୨
`scared,ʕ⊙ᴥ⊙ʔ
`check,✔
`15,
`16,
`17,
`18,
`19,
`20,
`21,
`22,
`23,
`24,
`25,
`26,
